"KR5of5.orf","KR5of5.position","KR5of5.name"
"YAL019W",338,"YAL019W_338"
"YAL025C",272,"YAL025C_272"
"YAL035W",283,"YAL035W_283"
"YBL006C",149,"YBL006C_149"
"YBL007C",264,"YBL007C_264"
"YBL023C",5,"YBL023C_5"
"YBL052C",253,"YBL052C_253"
"YBL052C",818,"YBL052C_818"
"YBL059W",63,"YBL059W_63"
"YBL072C",22,"YBL072C_22"
"YBR005W",64,"YBR005W_64"
"YBR055C",81,"YBR055C_81"
"YBR060C",103,"YBR060C_103"
"YBR279W",137,"YBR279W_137"
"YBR289W",672,"YBR289W_672"
"YCL051W",566,"YCL051W_566"
"YCR052W",141,"YCR052W_141"
"YDL007W",11,"YDL007W_11"
"YDL007W",33,"YDL007W_33"
"YDL030W",66,"YDL030W_66"
"YDL031W",704,"YDL031W_704"
"YDL031W",775,"YDL031W_775"
"YDL031W",840,"YDL031W_840"
"YDL079C",36,"YDL079C_36"
"YDL126C",28,"YDL126C_28"
"YDL153C",564,"YDL153C_564"
"YDL213C",56,"YDL213C_56"
"YDL220C",327,"YDL220C_327"
"YDR005C",328,"YDR005C_328"
"YDR028C",180,"YDR028C_180"
"YDR067C",82,"YDR067C_82"
"YDR083W",372,"YDR083W_372"
"YDR141C",255,"YDR141C_255"
"YDR175C",286,"YDR175C_286"
"YDR176W",612,"YDR176W_612"
"YDR181C",476,"YDR181C_476"
"YDR208W",360,"YDR208W_360"
"YDR223W",359,"YDR223W_359"
"YDR251W",817,"YDR251W_817"
"YDR293C",423,"YDR293C_423"
"YDR318W",142,"YDR318W_142"
"YDR334W",237,"YDR334W_237"
"YDR364C",57,"YDR364C_57"
"YDR389W",293,"YDR389W_293"
"YDR452W",467,"YDR452W_467"
"YDR452W",563,"YDR452W_563"
"YDR463W",351,"YDR463W_351"
"YDR464W",216,"YDR464W_216"
"YDR475C",587,"YDR475C_587"
"YDR485C",318,"YDR485C_318"
"YDR507C",581,"YDR507C_581"
"YDR520C",64,"YDR520C_64"
"YEL038W",109,"YEL038W_109"
"YEL050C",81,"YEL050C_81"
"YEL055C",312,"YEL055C_312"
"YEL057C",209,"YEL057C_209"
