"KR5of10.orf","KR5of10.position","KR5of10.name"
"Q0050",494,"Q0050_494"
"Q0055",620,"Q0055_620"
"Q0055",724,"Q0055_724"
"Q0070",485,"Q0070_485"
"Q0110",238,"Q0110_238"
"Q0110",280,"Q0110_280"
"Q0115",314,"Q0115_314"
"YAL001C",210,"YAL001C_210"
"YAL001C",663,"YAL001C_663"
"YAL005C",243,"YAL005C_243"
"YAL009W",242,"YAL009W_242"
"YAL011W",310,"YAL011W_310"
"YAL011W",494,"YAL011W_494"
"YAL011W",619,"YAL011W_619"
"YAL014C",95,"YAL014C_95"
"YAL017W",377,"YAL017W_377"
"YAL019W",207,"YAL019W_207"
"YAL019W",338,"YAL019W_338"
"YAL019W",468,"YAL019W_468"
"YAL019W",795,"YAL019W_795"
"YAL022C",138,"YAL022C_138"
"YAL023C",513,"YAL023C_513"
"YAL024C",90,"YAL024C_90"
"YAL024C",670,"YAL024C_670"
"YAL024C",1113,"YAL024C_1113"
"YAL025C",102,"YAL025C_102"
"YAL025C",140,"YAL025C_140"
"YAL026C",120,"YAL026C_120"
"YAL026C",603,"YAL026C_603"
"YAL026C",1261,"YAL026C_1261"
"YAL027W",245,"YAL027W_245"
"YAL028W",192,"YAL028W_192"
"YAL029C",789,"YAL029C_789"
"YAL030W",75,"YAL030W_75"
"YAL031C",6,"YAL031C_6"
"YAL031C",523,"YAL031C_523"
"YAL032C",125,"YAL032C_125"
"YAL032C",213,"YAL032C_213"
"YAL034C",244,"YAL034C_244"
"YAL034C",368,"YAL034C_368"
"YAL034W-A",121,"YAL034W-A_121"
"YAL034W-A",146,"YAL034W-A_146"
"YAL035W",85,"YAL035W_85"
"YAL035W",216,"YAL035W_216"
"YAL035W",239,"YAL035W_239"
"YAL035W",275,"YAL035W_275"
"YAL036C",32,"YAL036C_32"
"YAL037W",233,"YAL037W_233"
"YAL047C",580,"YAL047C_580"
"YAL051W",70,"YAL051W_70"
"YAL054C",670,"YAL054C_670"
"YAL056W",531,"YAL056W_531"
"YAL059W",78,"YAL059W_78"
"YAL063C-A",74,"YAL063C-A_74"
"YAL064W",55,"YAL064W_55"
"YAL067C",339,"YAL067C_339"
"YAL067C",555,"YAL067C_555"
"YAL067W-A",50,"YAL067W-A_50"
"YAR002C-A",163,"YAR002C-A_163"
"YAR007C",335,"YAR007C_335"
"YAR014C",466,"YAR014C_466"
"YAR018C",48,"YAR018C_48"
"YAR031W",225,"YAR031W_225"
"YAR035C-A",14,"YAR035C-A_14"
"YAR035W",30,"YAR035W_30"
"YAR042W",225,"YAR042W_225"
"YAR042W",651,"YAR042W_651"
"YAR042W",1133,"YAR042W_1133"
"YBL004W",1461,"YBL004W_1461"
"YBL005W",483,"YBL005W_483"
"YBL006C",52,"YBL006C_52"
"YBL007C",440,"YBL007C_440"
"YBL008W",476,"YBL008W_476"
"YBL009W",312,"YBL009W_312"
"YBL009W",648,"YBL009W_648"
"YBL010C",225,"YBL010C_225"
"YBL011W",616,"YBL011W_616"
"YBL014C",597,"YBL014C_597"
"YBL014C",826,"YBL014C_826"
"YBL017C",684,"YBL017C_684"
"YBL019W",495,"YBL019W_495"
"YBL022C",823,"YBL022C_823"
"YBL023C",482,"YBL023C_482"
"YBL023C",850,"YBL023C_850"
"YBL027W",80,"YBL027W_80"
"YBL027W",97,"YBL027W_97"
"YBL027W",162,"YBL027W_162"
"YBL028C",43,"YBL028C_43"
"YBL028C",89,"YBL028C_89"
"YBL032W",336,"YBL032W_336"
"YBL033C",74,"YBL033C_74"
"YBL034C",1180,"YBL034C_1180"
"YBL034C",1201,"YBL034C_1201"
"YBL035C",110,"YBL035C_110"
"YBL035C",243,"YBL035C_243"
"YBL036C",118,"YBL036C_118"
"YBL038W",44,"YBL038W_44"
"YBL039C",332,"YBL039C_332"
"YBL039W-B",52,"YBL039W-B_52"
"YBL044W",7,"YBL044W_7"
"YBL051C",154,"YBL051C_154"
"YBL051C",169,"YBL051C_169"
"YBL052C",201,"YBL052C_201"
"YBL052C",477,"YBL052C_477"
"YBL054W",214,"YBL054W_214"
"YBL054W",436,"YBL054W_436"
"YBL059C-A",63,"YBL059C-A_63"
"YBL060W",368,"YBL060W_368"
"YBL061C",139,"YBL061C_139"
"YBL061C",535,"YBL061C_535"
"YBL061C",553,"YBL061C_553"
"YBL061C",674,"YBL061C_674"
"YBL063W",58,"YBL063W_58"
"YBL066C",798,"YBL066C_798"
"YBL067C",10,"YBL067C_10"
"YBL067C",733,"YBL067C_733"
"YBL068W",108,"YBL068W_108"
"YBL069W",220,"YBL069W_220"
"YBL069W",261,"YBL069W_261"
"YBL072C",47,"YBL072C_47"
"YBL074C",125,"YBL074C_125"
"YBL075C",244,"YBL075C_244"
"YBL076C",267,"YBL076C_267"
"YBL076C",736,"YBL076C_736"
"YBL076C",994,"YBL076C_994"
"YBL082C",194,"YBL082C_194"
"YBL085W",687,"YBL085W_687"
"YBL087C",80,"YBL087C_80"
"YBL088C",2193,"YBL088C_2193"
"YBL090W",149,"YBL090W_149"
"YBL092W",8,"YBL092W_8"
"YBL093C",56,"YBL093C_56"
"YBL093C",191,"YBL093C_191"
"YBL097W",445,"YBL097W_445"
"YBL097W",640,"YBL097W_640"
"YBL098W",384,"YBL098W_384"
"YBL101C",664,"YBL101C_664"
"YBL103C",282,"YBL103C_282"
"YBL103C",353,"YBL103C_353"
"YBL104C",143,"YBL104C_143"
"YBL111C",2,"YBL111C_2"
"YBL111C",225,"YBL111C_225"
"YBL111C",231,"YBL111C_231"
"YBL111C",270,"YBL111C_270"
"YBL111C",332,"YBL111C_332"
"YBR002C",43,"YBR002C_43"
"YBR007C",373,"YBR007C_373"
"YBR007C",452,"YBR007C_452"
"YBR007C",492,"YBR007C_492"
"YBR008C",292,"YBR008C_292"
"YBR009C",13,"YBR009C_13"
"YBR009C",32,"YBR009C_32"
"YBR010W",122,"YBR010W_122"
"YBR011C",74,"YBR011C_74"
"YBR017C",553,"YBR017C_553"
"YBR019C",321,"YBR019C_321"
"YBR023C",522,"YBR023C_522"
"YBR024W",99,"YBR024W_99"
"YBR025C",236,"YBR025C_236"
"YBR026C",364,"YBR026C_364"
"YBR031W",180,"YBR031W_180"
"YBR033W",44,"YBR033W_44"
"YBR033W",93,"YBR033W_93"
"YBR033W",423,"YBR033W_423"
"YBR033W",668,"YBR033W_668"
"YBR033W",843,"YBR033W_843"
"YBR037C",93,"YBR037C_93"
"YBR038W",213,"YBR038W_213"
"YBR042C",94,"YBR042C_94"
"YBR045C",10,"YBR045C_10"
"YBR045C",99,"YBR045C_99"
"YBR045C",437,"YBR045C_437"
"YBR045C",499,"YBR045C_499"
"YBR048W",96,"YBR048W_96"
"YBR049C",669,"YBR049C_669"
"YBR049C",710,"YBR049C_710"
"YBR049C",771,"YBR049C_771"
"YBR050C",60,"YBR050C_60"
"YBR055C",130,"YBR055C_130"
"YBR055C",253,"YBR055C_253"
"YBR058C-A",15,"YBR058C-A_15"
"YBR059C",913,"YBR059C_913"
"YBR060C",69,"YBR060C_69"
"YBR060C",97,"YBR060C_97"
"YBR060C",131,"YBR060C_131"
"YBR061C",6,"YBR061C_6"
"YBR062C",97,"YBR062C_97"
"YBR066C",203,"YBR066C_203"
"YBR068C",90,"YBR068C_90"
"YBR069C",606,"YBR069C_606"
"YBR070C",46,"YBR070C_46"
"YBR073W",7,"YBR073W_7"
"YBR073W",113,"YBR073W_113"
"YBR074W",518,"YBR074W_518"
"YBR076W",59,"YBR076W_59"
"YBR076W",165,"YBR076W_165"
"YBR079C",192,"YBR079C_192"
"YBR079C",815,"YBR079C_815"
"YBR079C",953,"YBR079C_953"
"YBR080C",652,"YBR080C_652"
"YBR081C",1065,"YBR081C_1065"
"YBR084C-A",80,"YBR084C-A_80"
"YBR084C-A",97,"YBR084C-A_97"
"YBR084C-A",162,"YBR084C-A_162"
"YBR084W",506,"YBR084W_506"
"YBR084W",524,"YBR084W_524"
"YBR086C",929,"YBR086C_929"
"YBR086C",935,"YBR086C_935"
"YBR087W",265,"YBR087W_265"
"YBR095C",110,"YBR095C_110"
"YBR096W",174,"YBR096W_174"
"YBR098W",484,"YBR098W_484"
"YBR102C",34,"YBR102C_34"
"YBR102C",481,"YBR102C_481"
"YBR108W",881,"YBR108W_881"
"YBR108W",887,"YBR108W_887"
"YBR114W",292,"YBR114W_292"
"YBR114W",630,"YBR114W_630"
"YBR115C",783,"YBR115C_783"
"YBR117C",574,"YBR117C_574"
"YBR118W",376,"YBR118W_376"
"YBR119W",104,"YBR119W_104"
"YBR120C",52,"YBR120C_52"
"YBR121C",404,"YBR121C_404"
"YBR121C",431,"YBR121C_431"
"YBR122C",130,"YBR122C_130"
"YBR122C",165,"YBR122C_165"
"YBR123C",245,"YBR123C_245"
"YBR125C",381,"YBR125C_381"
"YBR128C",63,"YBR128C_63"
"YBR128C",289,"YBR128C_289"
"YBR129C",255,"YBR129C_255"
"YBR130C",104,"YBR130C_104"
"YBR131W",587,"YBR131W_587"
"YBR132C",314,"YBR132C_314"
"YBR136W",850,"YBR136W_850"
"YBR137W",90,"YBR137W_90"
"YBR138C",246,"YBR138C_246"
"YBR138C",445,"YBR138C_445"
"YBR140C",1009,"YBR140C_1009"
"YBR141C",4,"YBR141C_4"
"YBR141C",22,"YBR141C_22"
"YBR142W",3,"YBR142W_3"
"YBR142W",393,"YBR142W_393"
"YBR142W",593,"YBR142W_593"
"YBR142W",694,"YBR142W_694"
"YBR142W",725,"YBR142W_725"
"YBR143C",186,"YBR143C_186"
"YBR146W",254,"YBR146W_254"
"YBR148W",76,"YBR148W_76"
"YBR148W",108,"YBR148W_108"
"YBR148W",193,"YBR148W_193"
"YBR148W",369,"YBR148W_369"
"YBR148W",448,"YBR148W_448"
"YBR148W",589,"YBR148W_589"
"YBR150C",105,"YBR150C_105"
"YBR150C",160,"YBR150C_160"
"YBR150C",725,"YBR150C_725"
"YBR152W",192,"YBR152W_192"
"YBR152W",238,"YBR152W_238"
"YBR154C",161,"YBR154C_161"
"YBR155W",95,"YBR155W_95"
"YBR156C",477,"YBR156C_477"
"YBR156C",521,"YBR156C_521"
"YBR157C",133,"YBR157C_133"
"YBR159W",330,"YBR159W_330"
"YBR161W",330,"YBR161W_330"
"YBR161W",346,"YBR161W_346"
"YBR169C",250,"YBR169C_250"
"YBR171W",52,"YBR171W_52"
"YBR171W",178,"YBR171W_178"
"YBR172C",410,"YBR172C_410"
"YBR172C",734,"YBR172C_734"
"YBR177C",127,"YBR177C_127"
"YBR177C",231,"YBR177C_231"
"YBR179C",370,"YBR179C_370"
"YBR179C",617,"YBR179C_617"
"YBR180W",432,"YBR180W_432"
"YBR181C",183,"YBR181C_183"
"YBR181C",214,"YBR181C_214"
"YBR182C",23,"YBR182C_23"
"YBR182C",93,"YBR182C_93"
"YBR184W",131,"YBR184W_131"
"YBR184W",177,"YBR184W_177"
"YBR184W",489,"YBR184W_489"
"YBR185C",41,"YBR185C_41"
"YBR188C",119,"YBR188C_119"
"YBR189W",171,"YBR189W_171"
"YBR194W",18,"YBR194W_18"
"YBR198C",384,"YBR198C_384"
"YBR202W",213,"YBR202W_213"
"YBR203W",470,"YBR203W_470"
"YBR203W",902,"YBR203W_902"
"YBR205W",258,"YBR205W_258"
"YBR207W",192,"YBR207W_192"
"YBR207W",413,"YBR207W_413"
"YBR215W",55,"YBR215W_55"
"YBR215W",320,"YBR215W_320"
"YBR215W",554,"YBR215W_554"
"YBR218C",955,"YBR218C_955"
"YBR220C",81,"YBR220C_81"
"YBR223C",11,"YBR223C_11"
"YBR225W",188,"YBR225W_188"
"YBR225W",543,"YBR225W_543"
"YBR227C",312,"YBR227C_312"
"YBR229C",446,"YBR229C_446"
"YBR230C",125,"YBR230C_125"
"YBR231C",210,"YBR231C_210"
"YBR233W",402,"YBR233W_402"
"YBR235W",860,"YBR235W_860"
"YBR236C",75,"YBR236C_75"
"YBR236C",89,"YBR236C_89"
"YBR237W",672,"YBR237W_672"
"YBR240C",5,"YBR240C_5"
"YBR240C",34,"YBR240C_34"
"YBR245C",14,"YBR245C_14"
"YBR245C",150,"YBR245C_150"
"YBR245C",438,"YBR245C_438"
"YBR245C",655,"YBR245C_655"
"YBR247C",29,"YBR247C_29"
"YBR249C",362,"YBR249C_362"
"YBR250W",53,"YBR250W_53"
"YBR251W",293,"YBR251W_293"
"YBR255C-A",88,"YBR255C-A_88"
"YBR255W",166,"YBR255W_166"
"YBR255W",346,"YBR255W_346"
"YBR255W",550,"YBR255W_550"
"YBR257W",45,"YBR257W_45"
"YBR257W",97,"YBR257W_97"
"YBR258C",9,"YBR258C_9"
"YBR260C",141,"YBR260C_141"
"YBR263W",278,"YBR263W_278"
"YBR267W",69,"YBR267W_69"
"YBR267W",81,"YBR267W_81"
"YBR267W",87,"YBR267W_87"
"YBR273C",155,"YBR273C_155"
"YBR273C",429,"YBR273C_429"
"YBR275C",1241,"YBR275C_1241"
"YBR275C",1774,"YBR275C_1774"
"YBR275C",1866,"YBR275C_1866"
"YBR276C",779,"YBR276C_779"
"YBR278W",95,"YBR278W_95"
"YBR279W",137,"YBR279W_137"
"YBR279W",176,"YBR279W_176"
"YBR279W",265,"YBR279W_265"
"YBR281C",508,"YBR281C_508"
"YBR285W",136,"YBR285W_136"
"YBR295W",218,"YBR295W_218"
"YBR295W",341,"YBR295W_341"
